2_hr_bin_start_time,Trouble,Oceans,Hypnotised,Brothers & Sisters,Shiver.,Amazing day
2018-08-10 15,37,5,31,3,34,17
2018-08-10 16,20,23,18,25,23,25
2018-08-10 17,33,26,35,24,26,31
2018-08-10 18,24,31,24,31,31,24
2018-08-10 19,36,36,39,38,36,39
2018-08-10 20,26,26,23,23,26,23
2018-08-10 21,30,37,37,37,37,37
2018-08-10 22,30,23,27,27,23,27
2018-08-10 23,28,27,24,23,27,24
2018-08-11 00,29,29,29,30,22,29
2018-08-11 01,19,20,19,19,27,19
2018-08-11 02,21,21,21,21,21,21
2018-08-11 03,14,13,15,15,15,15
2018-08-11 04,14,14,13,13,12,12
2018-08-11 05,16,17,16,16,17,17
2018-08-11 06,15,19,19,19,15,15
2018-08-11 07,9,5,5,5,9,9
2018-08-11 08,21,17,21,21,17,6
2018-08-11 09,14,14,14,14,14,29
2018-08-11 10,31,30,31,31,35,30
2018-08-11 11,33,33,33,31,33,34
2018-08-11 12,26,31,27,29,27,26
2018-08-11 13,15,15,14,14,14,15
2018-08-11 14,36,37,39,37,33,36
2018-08-11 15,33,32,30,32,36,33
2018-08-11 16,29,25,25,31,31,31
2018-08-11 17,43,43,47,37,41,41
2018-08-11 18,32,36,32,36,32,32
2018-08-11 19,29,29,42,43,32,42
2018-08-11 20,32,32,19,19,29,19
2018-08-11 21,20,28,28,28,20,28
2018-08-11 22,43,36,40,40,44,40
2018-08-11 23,32,32,28,26,30,28
2018-08-12 00,39,39,39,41,26,39
2018-08-12 01,22,22,22,22,37,22
2018-08-12 02,18,18,18,18,18,18
2018-08-12 03,15,15,17,17,15,17
2018-08-12 04,21,20,19,19,19,17
2018-08-12 05,16,17,16,16,18,18
2018-08-12 06,7,8,8,8,7,7
2018-08-12 07,3,2,2,2,3,3
2018-08-12 08,29,26,28,29,26,16
2018-08-12 09,15,15,15,15,15,28
2018-08-12 10,25,18,25,25,24,21
2018-08-12 11,27,32,27,26,31,31
2018-08-12 12,18,23,22,23,18,18
2018-08-12 13,23,23,19,19,23,23
2018-08-12 14,31,41,41,41,31,31
2018-08-12 15,46,36,36,36,46,46
2018-08-12 16,47,47,47,47,47,47
2018-08-12 17,40,40,40,36,40,40
2018-08-12 18,54,57,46,61,45,57
2018-08-12 19,31,28,28,39,40,28
2018-08-12 20,44,32,39,33,39,39
2018-08-12 21,51,57,52,47,52,52
2018-08-12 22,36,35,29,40,35,35
2018-08-12 23,20,25,34,23,25,25
2018-08-13 00,34,36,31,33,34,36
2018-08-13 01,17,21,23,21,17,21
2018-08-13 02,24,18,18,18,24,18
2018-08-13 03,16,17,16,16,16,17
2018-08-13 04,17,16,22,13,17,21
2018-08-13 05,11,11,6,15,11,10
2018-08-13 06,10,10,10,10,10,6
2018-08-13 07,15,15,15,15,12,15
2018-08-13 08,11,11,11,11,10,18
2018-08-13 09,29,29,29,29,33,22
2018-08-13 10,25,30,25,25,25,30
2018-08-13 11,25,20,27,25,25,22
2018-08-13 12,30,32,28,30,30,30
2018-08-13 13,22,20,22,22,18,20
2018-08-13 14,32,32,32,32,24,32
2018-08-13 15,30,30,30,30,42,30
2018-08-13 16,19,30,30,30,22,30
2018-08-13 17,44,37,37,37,45,37
2018-08-13 18,47,46,45,46,36,46
2018-08-13 19,36,33,34,34,43,33
2018-08-13 20,33,27,32,36,33,33
2018-08-13 21,40,46,40,36,40,40
2018-08-13 22,21,21,21,24,21,21
2018-08-13 23,24,19,24,21,19,19
2018-08-14 00,18,27,21,22,26,27
2018-08-14 01,25,25,26,25,22,25
2018-08-14 02,32,33,33,33,32,33
2018-08-14 03,27,25,25,25,30,25
2018-08-14 04,17,14,16,11,14,16
2018-08-14 05,12,12,10,15,12,14
2018-08-14 06,14,14,14,14,14,10
2018-08-14 07,17,17,17,17,15,17
2018-08-14 08,21,21,21,21,15,27
2018-08-14 09,20,20,20,20,28,14
2018-08-14 10,24,24,24,24,24,24
2018-08-14 11,14,13,13,13,13,14
2018-08-14 12,25,28,26,26,26,27
2018-08-14 13,28,26,28,28,26,26
2018-08-14 14,28,41,41,41,30,41
2018-08-14 15,42,29,29,29,42,29
2018-08-14 16,31,43,43,43,35,43
2018-08-14 17,30,25,25,25,31,25
2018-08-14 18,46,51,51,51,31,51
2018-08-14 19,46,34,35,42,54,34
2018-08-14 20,35,31,30,33,33,33
2018-08-14 21,25,25,25,15,23,23
2018-08-14 22,24,28,23,30,28,28
2018-08-14 23,38,33,43,36,33,33
2018-08-15 00,20,28,23,23,25,28
2018-08-15 01,14,13,11,13,14,13
2018-08-15 02,29,33,35,33,34,33
2018-08-15 03,22,19,18,16,17,19
2018-08-15 04,23,20,21,17,23,21
2018-08-15 05,12,10,10,16,10,11
2018-08-15 06,10,12,12,12,12,10
2018-08-15 07,16,16,16,16,14,16
2018-08-15 08,11,11,11,11,9,14
2018-08-15 09,18,18,18,18,22,15
2018-08-15 10,20,22,20,20,20,22
2018-08-15 11,33,31,33,33,33,33
2018-08-15 12,23,23,23,23,23,21
2018-08-20 18,96,96,96,78,96,96
2018-08-20 19,65,65,61,83,65,61
2018-08-20 20,10,10,14,13,10,14
2018-08-20 21,9,9,9,6,9,9
