,8/9/18 22:00,8/10/18 0:00,8/10/18 2:00,8/10/18 4:00,8/10/18 6:00,8/10/18 8:00,8/10/18 10:00,8/10/18 12:00,8/10/18 14:00,8/10/18 16:00,8/10/18 18:00,8/10/18 20:00,8/10/18 22:00,8/11/18 0:00,8/11/18 2:00,8/11/18 4:00,8/11/18 6:00,8/11/18 8:00,8/11/18 10:00,8/11/18 12:00,8/11/18 14:00,8/11/18 16:00,8/11/18 18:00,8/11/18 20:00,8/11/18 22:00,8/12/18 0:00,8/12/18 2:00,8/12/18 4:00,8/12/18 6:00,8/12/18 8:00,8/12/18 10:00,8/12/18 12:00,8/12/18 14:00,8/12/18 16:00,8/12/18 18:00,8/12/18 20:00,8/12/18 22:00,8/13/18 0:00,8/13/18 2:00,8/13/18 4:00,8/13/18 6:00,8/13/18 8:00,8/13/18 10:00,8/13/18 12:00,8/13/18 14:00,8/13/18 16:00,8/13/18 18:00,8/13/18 20:00,8/13/18 22:00,8/14/18 0:00,8/14/18 2:00,8/14/18 4:00,8/14/18 6:00,8/14/18 8:00,8/14/18 10:00,8/14/18 12:00,8/14/18 14:00,8/14/18 16:00,8/14/18 18:00,8/14/18 20:00,8/14/18 22:00,8/15/18 0:00,8/15/18 2:00,8/15/18 4:00,8/15/18 6:00,8/15/18 8:00,8/15/18 10:00,8/15/18 12:00,8/15/18 14:00,8/15/18 16:00
01greenen,0,0,8,0,0,7,0,5,0,1,0,0,3,0,1,0,0,0,3,1,4,4,0,6,3,0,0,0,0,0,7,4,1,0,0,13,0,0,11,0,0,3,4,0,1,8,0,0,0,6,7,0,2,3,0,3,0,5,0,4,0,1,4,0,0,8,0,3,0,0
01splcheck,0,13,5,5,3,0,0,0,30,5,9,5,10,6,7,2,0,0,0,0,0,4,0,8,6,2,3,1,0,0,0,0,2,1,4,1,5,2,5,1,0,0,0,0,1,9,5,0,0,2,0,4,0,3,0,0,0,5,0,1,5,2,6,4,0,0,0,0,0,0
1776BetsyRoss,0,0,20,16,0,0,0,0,0,0,0,9,8,15,27,0,0,0,0,0,0,1,0,0,1,15,3,0,0,0,0,15,0,0,0,1,17,23,27,0,0,0,0,2,0,1,1,0,2,3,1,0,0,0,0,5,5,2,0,0,0,3,4,0,0,0,0,1,5,0
1776PatHenry,0,0,2,0,0,0,0,0,3,0,3,3,20,0,10,1,0,0,0,0,5,4,4,0,2,2,0,0,0,11,0,0,1,1,0,0,0,15,3,4,0,0,0,13,0,0,6,0,0,0,0,8,0,0,0,9,1,1,0,1,2,1,6,1,4,0,0,3,2,0
1ClickBiz,0,0,0,0,0,0,1,12,0,1,0,1,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0
1Romans58,0,0,0,0,0,0,0,2,20,13,7,11,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,18,1,3,8,0,10,1,0,0,0,0,0,15,12,1,0,16,0,0,1,0,0,0,0,0,26,2,7,0,5,0,0,0,0,0,0,18,9,0
1geniusmind4u,0,0,0,0,0,0,11,14,11,21,0,8,0,9,0,0,0,0,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,24,12,0,2,0,0,0,0,0,0,15,10,2,1,0,0,0,0,0,0,0,1,0
2018MAGAMidTrmT,0,3,3,2,7,1,0,0,7,0,5,4,0,4,4,0,0,0,0,0,0,0,0,7,5,3,3,2,0,0,2,0,7,3,5,5,7,0,21,8,3,8,0,0,0,4,2,2,0,0,0,8,11,7,4,0,4,2,1,3,0,4,28,10,18,0,1,6,5,0
22GamZ,0,4,5,1,0,0,2,3,3,0,3,1,1,2,1,3,1,2,1,2,1,5,3,3,3,3,0,2,3,2,0,2,2,2,1,2,3,1,2,3,4,4,1,2,4,3,3,1,1,3,5,2,2,2,2,0,1,3,4,0,0,1,2,3,5,0,3,1,3,0
28delayslater,0,3,1,0,0,7,11,11,7,3,2,4,2,7,0,0,1,1,0,8,3,7,7,3,2,18,0,0,0,0,15,15,7,7,7,4,7,17,5,0,0,0,11,9,22,15,13,10,2,11,7,0,0,0,3,7,4,12,5,9,3,4,2,0,0,4,6,5,0,0
